Modality_Name,Profile_Column,Description,Example_Products_or_Assets,Include_Keywords,Exclude_Keywords,Display_Order,Is_Active,Reviewer_Notes
Small molecule,Small_Molecule,"Chemically synthesized low-molecular-weight medicines, including oral and injectable small-molecule drugs.",Tagrisso|Jardiance|Eliquis|Xeljanz,small molecule|oral therapy|kinase inhibitor|chemical entity|NCE|SGLT2|JAK inhibitor|BTK inhibitor,antibody|vaccine|cell therapy|gene therapy|mRNA,1,True,"Use Y when the company has meaningful marketed products, active pipeline assets, or a stated strategic capability in small molecules."
Monoclonal antibody,Monoclonal_Antibody,Antibody-based therapies designed to bind a single target antigen.,Keytruda|Humira|Ocrevus|Dupixent,monoclonal antibody|mAb|antibody therapy|IgG|fully human antibody|humanized antibody,bispecific|ADC|antibody-drug conjugate,2,True,Use Y for conventional single-target antibody franchises or active antibody pipelines. Bispecifics and ADCs should also be separately flagged where relevant.
Bispecific antibody,Bispecific_Antibody,Antibody therapies engineered to bind two targets or epitopes.,Vabysmo|Epkinly|Tecvayli|Hemlibra,bispecific|dual-target antibody|T-cell engager|BiTE|CD3 engager|two-target antibody,monoclonal antibody only|ADC,3,True,Use Y only when bispecific antibody products or active bispecific pipeline assets are visible.
ADC,ADC,Antibody-drug conjugates combining antibody targeting with a linked cytotoxic or therapeutic payload.,Enhertu|Padcev|Adcetris|Trodelvy,ADC|antibody-drug conjugate|antibody drug conjugate|payload|linker,monoclonal antibody only|bispecific only,4,True,"Use Y where ADC is a marketed product, active pipeline area, or explicitly highlighted strategic platform."
Vaccine,Vaccine,"Preventive or therapeutic vaccines, including protein, viral vector, mRNA, conjugate, and inactivated vaccine approaches.",Shingrix|Prevnar|Gardasil|Comirnaty|Spikevax,vaccine|immunization|immunisation|conjugate vaccine|viral vector vaccine|protein vaccine|preventive vaccine|therapeutic vaccine,antibody therapy only|non-vaccine immunotherapy,5,True,"Use Y for companies with meaningful vaccine franchises, active vaccine pipelines, or dedicated vaccine platforms. mRNA vaccines should also be flagged under mRNA."
mRNA,mRNA,Messenger RNA-based medicines or vaccines using mRNA as the active therapeutic or antigen-encoding component.,Comirnaty|Spikevax|mRNA oncology vaccine candidates,mRNA|messenger RNA|RNA vaccine|mRNA therapeutic|self-amplifying RNA|saRNA,siRNA|antisense|RNAi only,6,True,"Use Y for companies with marketed mRNA products, active mRNA pipeline assets, or explicit mRNA platform strategy."
Cell therapy,Cell_Therapy,"Cell-based therapies, including autologous or allogeneic CAR-T, TCR, NK-cell, stem-cell, and other engineered cell approaches.",Yescarta|Kymriah|Carvykti|Abecma,cell therapy|CAR-T|CAR T|TCR therapy|NK cell|stem cell therapy|allogeneic cell|autologous cell,gene therapy only|mAb only,7,True,Use Y for active or marketed cell therapy exposure. Do not mark Y for basic cell biology research without a therapeutic platform or asset.
Gene therapy,Gene_Therapy,"Gene replacement, gene addition, gene editing, or vector-based genetic medicines.",Zolgensma|Luxturna|Roctavian|Hemgenix,gene therapy|gene editing|AAV|lentiviral vector|CRISPR|base editing|gene replacement,cell therapy only|mRNA only|siRNA only,8,True,Use Y for marketed or active gene therapy and gene editing assets. Cell therapies with gene modification can be flagged under both Cell_Therapy and Gene_Therapy if strategically meaningful.
RNA therapy,RNA_Therapy,"Non-mRNA RNA-targeting or RNA-based therapeutics such as siRNA, antisense oligonucleotides, RNAi, and splice-modulating therapies.",Spinraza|Leqvio|Onpattro|Waylivra,siRNA|RNAi|antisense|ASO|oligonucleotide|splice modulation|RNA therapy,mRNA vaccine|messenger RNA only,9,True,Keep separate from mRNA because the platform logic and companies involved can differ.
Protein / peptide,Protein_Peptide,"Therapeutic proteins, peptides, enzymes, hormones, and recombinant biologics that are not primarily antibodies.",insulin analogues|GLP-1 peptides|enzyme replacement therapies|coagulation factors,peptide|protein therapeutic|recombinant protein|enzyme replacement|hormone|coagulation factor|GLP-1,monoclonal antibody|bispecific antibody|ADC,10,True,"Useful for companies with diabetes, obesity, rare disease enzyme replacement, or recombinant protein franchises."
Biosimilar,Biosimilar,Biologic products highly similar to already-approved reference biologics.,Amjevita|Ogivri|Hyrimoz|Truxima,biosimilar|follow-on biologic|biosimilar portfolio,generic small molecule|innovator biologic only,11,True,Use Y for companies with meaningful biosimilar commercial or pipeline exposure.
Generic,Generic,Off-patent small-molecule medicines or generic drug portfolios.,generic oral solids|ANDA products|branded generics,generic|branded generic|ANDA|off-patent medicine,biosimilar|innovator small molecule only,12,True,"Use Y only when generics are a meaningful part of the company's business model, not just legacy minor exposure."
Diagnostic,Diagnostic,"Diagnostic tests, imaging agents, companion diagnostics, assay platforms, or diagnostic devices.",companion diagnostics|imaging diagnostics|in vitro diagnostic platforms,diagnostic|companion diagnostic|IVD|assay|imaging agent|test kit|screening test,therapeutic product only|research tool only,13,True,Use Y for diagnostics-focused companies or therapeutic companies with meaningful diagnostic/imaging business exposure.
Device,Device,"Medical devices, drug-device combinations, delivery devices, monitoring devices, or connected therapeutic hardware.",insulin pens|inhalers|continuous monitoring devices|drug delivery devices,device|drug-device combination|delivery device|autoinjector|pen injector|inhaler|monitoring device,software only|diagnostic assay only,14,True,Use Y only when device exposure is a meaningful commercial or strategic element.
Tools / manufacturing,Tools_Manufacturing,"Life-science tools, bioprocessing, CDMO, manufacturing platforms, research reagents, or enabling technology services.",CDMO services|bioprocessing systems|research reagents|manufacturing platforms,CDMO|CMO|manufacturing|bioprocessing|life science tools|research tools|reagents|contract development|contract manufacturing,therapeutic product only|diagnostic product only,15,True,Important for companies such as Lonza or Danaher that do not fit a pure therapeutics modality model.
Other modality,Other_Modality,Material modality exposure that does not fit the current controlled vocabulary.,radiopharmaceuticals|microbiome therapy|plasma-derived therapies|other emerging platforms,radiopharmaceutical|microbiome|plasma-derived|other platform|emerging modality,use a more specific modality when available,99,True,Use sparingly and add a Reviewer_Notes explanation. Consider adding a new modality if repeated across companies.
