Unique_ID,Company_Name,Company_Type,Primary_Therapeutic_Area,Primary_Indication,Lead_Asset_Name,Core_Technology,Company_Overview,Business_Model,Oncology,Cardiometabolic,Immunology_Inflammation,Neuroscience,Infectious_Disease_Vaccines,Rare_Disease,Respiratory,Renal,Ophthalmology,Dermatology,Women_Health,Animal_Health,Diagnostics_Tools,Diversified,Other,Small_Molecule,Monoclonal_Antibody,Bispecific_Antibody,ADC,Vaccine,mRNA,Cell_Therapy,Gene_Therapy,RNA_Therapy,Protein_Peptide,Biosimilar,Generic,Diagnostic,Device,Tools_Manufacturing,Other_Modality,Key_Franchise,Flagship_Product_or_Asset,Geographic_Focus,Headcount_Bucket,Headcount_Source,Headcount_As_Of_Date,Strategic_Notes,Therapeutic_Area_Source,Therapeutic_Area_Source_Date,Modality_Source,Modality_Source_Date,Evidence_URL,Evidence_Notes,Confidence,Last_Reviewed,Reviewer_Notes
CMP-001,"Ono Pharmaceutical Co., Ltd.",Innovator Pharma,Oncology,Oncology,Opdivo (nivolumab),,"Japanese pharmaceutical company known for oncology treatments, particularly immunotherapy.","Vertically integrated, strong oncology and immunology franchises",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Oncology (Immuno-oncology),Opdivo (nivolumab),Japan & Global,5k-25k,Annual Report,2024-03-31,Opdivo royalty streams form a core part of its financial model.,2024 Annual Report,2024-06-25,2024 Annual Report,2024-06-25,https://www.ono-pharma.com/en/ir,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,High,2026-06-04,
CMP-002,Eli Lilly & Co.,Innovator Pharma,Cardiometabolic,Diabetes/Obesity,Mounjaro (tirzepatide),,"American pharmaceutical firm specializing in endocrine, oncology, and neuroscience therapies.","Vertically integrated, dominant endocrinology and growing oncology/immunology footprint",Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"Cardiometabolic (Diabetes, Obesity)",Mounjaro (tirzepatide),Global,25k-75k,SEC 10-K,2024-12-31,Market leader in GLP-1 receptor agonists with tirzepatide.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000059478,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-003,Johnson & Johnson,Diversified Healthcare,Diversified,Oncology,Darzalex (daratumumab),,Multinational healthcare conglomerate with segments in pharmaceuticals and medical devices.,Broad healthcare conglomerate with major divisions in pharmaceuticals and medtech,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,"Oncology, Immunology, Neuroscience",Darzalex (daratumumab),Global,75k+,SEC 10-K,2024-12-31,"Diversified portfolio stabilized by blockbusters Darzalex, Stelara, and Tremfya.",2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000200406,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-004,AbbVie,Innovator Pharma,Immunology_Inflammation,Immunology,Skyrizi (risankizumab),,"Research-based global biopharmaceutical company focusing on immunology, oncology, and neuroscience.","Vertically integrated, oncology + immunology franchises",Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Immunology & Oncology,Skyrizi (risankizumab),Global,25k-75k,SEC 10-K,2024-12-31,Navigating Humira biosimilar erosion through rapid expansion of Skyrizi and Rinvoq.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0001551152,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-005,Roche,Diversified Healthcare,Diversified,Multiple Sclerosis,Ocrevus,,Swiss healthcare giant with strong divisions in pharmaceuticals and in vitro diagnostics.,Pharma innovator backed by global diagnostics network,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Oncology & Neuroscience,Ocrevus,Global,75k+,Annual Report,2024-12-31,Leader in oncology therapeutics and in-vitro diagnostics.,2024 Annual Report,2025-03-31,2024 Annual Report,2025-03-31,https://www.roche.com/investors,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,High,2026-06-04,
CMP-006,AstraZeneca,Innovator Pharma,Oncology,Oncology,Tagrisso (osimertinib),,"Anglo-Swedish pharmaceutical firm focusing on oncology, cardiovascular, renal, metabolic, and respiratory diseases.","Vertically integrated, major franchises in oncology, cardiovascular and respiratory",Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Oncology (Lung/Breast Cancers),Tagrisso (osimertinib),Global,75k+,Annual Report,2024-12-31,Expanding ADC capabilities through partnerships and acquisitions.,2024 Annual Report,2025-03-31,2024 Annual Report,2025-03-31,https://www.sec.gov/edgar/browse/?CIK=0000901832,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,High,2026-06-04,
CMP-007,Novartis AG,Innovator Pharma,Diversified,Cardiovascular,Entresto (sacubitril/valsartan),,"Swiss multinational pharmaceutical company focusing on cardiovascular, oncology, and neuroscience.",Innovator pharma focused on high-value specialty medicine franchises,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,"Cardiology, Neuroscience & Oncology",Entresto (sacubitril/valsartan),Global,75k+,SEC 20-F,2024-12-31,Pivoted to pure-play innovator medicine following the Sandoz generic spinoff.,2024 Form 20-F,2025-04-15,2024 Form 20-F,2025-04-15,https://www.sec.gov/edgar/browse/?CIK=0001114448,Therapeutic areas and modalities exposure verified against official company 2024 Form 20-F filings.,High,2026-06-04,
CMP-008,Merck & Co,Innovator Pharma,Diversified,Oncology,Keytruda (pembrolizumab),,"American pharmaceutical giant famous for Keytruda, vaccines, and animal health.",Blockbuster oncology franchise with supporting vaccine and animal health business,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Oncology (Immunotherapy),Keytruda (pembrolizumab),Global,25k-75k,SEC 10-K,2024-12-31,"Keytruda is the highest-selling drug globally, creating a high concentration risk.",2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000310158,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-009,Novo Nordisk,Innovator Pharma,Cardiometabolic,Diabetes/Obesity,Ozempic (semaglutide),,Danish multinational pharmaceutical company specializing in diabetes and obesity care.,Endocrinology-focused innovator pharma scaling global manufacturing capacity,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"Cardiometabolic (Diabetes, Obesity)",Ozempic (semaglutide),Global,25k-75k,Annual Report,2024-12-31,Wegovy and Ozempic have driven significant revenue growth.,2024 Annual Report,2025-03-31,2024 Annual Report,2025-03-31,https://www.sec.gov/edgar/browse/?CIK=0000353278,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,High,2026-06-04,
CMP-010,Amgen Inc.,Biotech,Diversified,"Oncology, Immunology & Bone Health",,,"Pioneering biotechnology company focused on oncology, inflammation, and bone diseases.","Large-cap biotech developer spanning oncology, immunology, and cardiometabolic diseases",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,"Bone Health, Immunology & Oncology",Enbrel (etanercept),Global,25k-75k,SEC 10-K,2024-12-31,Acquired Horizon Therapeutics to expand rare disease franchise.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000318154,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
